"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"2","US","Total",228832,153066,61.3,66.9,122281,49,53.4,"2018"
"3","US","18 to 24",26950,13241,45.7,49.1,8726,30.1,32.4,"2018"
"4","US","25 to 34",39280,23342,52.1,59.4,16545,37,42.1,"2018"
"5","US","35 to 44",35403,23383,57.3,66,18041,44.2,51,"2018"
"6","US","45 to 64",77085,55032,66.1,71.4,45829,55,59.5,"2018"
"7","US","65+",50113,38068,73.3,76,33139,63.8,66.1,"2018"
"8","ALABAMA","Total",3609,2490,66.4,69,1830,48.8,50.7,"2018"
"9","ALABAMA","18 to 24",434,221,48.2,50.8,130,28.3,29.9,"2018"
"10","ALABAMA","25 to 34",619,425,64.4,68.6,262,39.8,42.4,"2018"
"11","ALABAMA","35 to 44",508,341,61.3,67.1,239,43,47.1,"2018"
"12","ALABAMA","45 to 64",1313,933,69.7,71.1,736,54.9,56,"2018"
"13","ALABAMA","65+",735,571,77.1,77.7,463,62.6,63.1,"2018"
"14","ALASKA","Total",497,337,64.4,67.7,263,50.2,52.8,"2018"
"15","ALASKA","18 to 24",69,36,48.3,NA,27,35.5,NA,"2018"
"16","ALASKA","25 to 34",99,57,55.1,58,39,37.5,39.6,"2018"
"17","ALASKA","35 to 44",72,52,68.1,NA,39,51.4,NA,"2018"
"18","ALASKA","45 to 64",167,121,69.8,72.7,98,56.8,59.1,"2018"
"19","ALASKA","65+",91,70,74.7,77,59,63,65,"2018"
"20","ARIZONA","Total",4757,3262,60.8,68.6,2800,52.2,58.9,"2018"
"21","ARIZONA","18 to 24",619,302,46.3,48.8,217,33.3,35,"2018"
"22","ARIZONA","25 to 34",729,360,41.1,49.4,287,32.8,39.4,"2018"
"23","ARIZONA","35 to 44",714,541,62,75.8,407,46.6,57,"2018"
"24","ARIZONA","45 to 64",1637,1229,67,75,1090,59.4,66.6,"2018"
"25","ARIZONA","65+",1057,830,73.7,78.5,799,71,75.6,"2018"
"26","ARKANSAS","Total",2158,1262,55.8,58.5,919,40.6,42.6,"2018"
"27","ARKANSAS","18 to 24",258,119,42.4,46.3,61,21.9,23.9,"2018"
"28","ARKANSAS","25 to 34",395,204,47.2,51.8,122,28,30.8,"2018"
"29","ARKANSAS","35 to 44",278,154,50.9,55.3,100,33.2,36.1,"2018"
"30","ARKANSAS","45 to 64",723,433,58.8,59.9,341,46.2,47.1,"2018"
"31","ARKANSAS","65+",505,352,69.3,69.7,295,58,58.4,"2018"
"32","CALIFORNIA","Total",25525,15690,51.9,61.5,13240,43.8,51.9,"2018"
"33","CALIFORNIA","18 to 24",3100,1407,41.6,45.4,1096,32.4,35.3,"2018"
"34","CALIFORNIA","25 to 34",4734,2706,46.2,57.2,2045,34.9,43.2,"2018"
"35","CALIFORNIA","35 to 44",4187,2444,44.5,58.4,2058,37.5,49.2,"2018"
"36","CALIFORNIA","45 to 64",8415,5554,55.7,66,4792,48,56.9,"2018"
"37","CALIFORNIA","65+",5089,3580,64.7,70.3,3248,58.7,63.8,"2018"
"38","COLORADO","Total",4029,2645,60.8,65.6,2342,53.8,58.1,"2018"
"39","COLORADO","18 to 24",404,228,52.2,56.4,166,38,41.1,"2018"
"40","COLORADO","25 to 34",751,433,50.4,57.7,367,42.7,48.8,"2018"
"41","COLORADO","35 to 44",763,509,60.5,66.7,432,51.3,56.6,"2018"
"42","COLORADO","45 to 64",1312,876,63.1,66.8,797,57.4,60.8,"2018"
