"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"1","US","Total",224059,157596,64.2,70.3,137537,56,61.4,"2018"
"2","US","18 to 24",26913,14905,50.8,55.4,11560,39.4,43,"2018"
"3","US","25 to 34",38283,24682,56.4,64.5,20332,46.4,53.1,"2018"
"4","US","35 to 44",34327,23948,60,69.8,20662,51.8,60.2,"2018"
"5","US","45 to 64",77544,57394,68.5,74,51668,61.7,66.6,"2018"
"6","US","65+",46993,36667,75.3,78,33314,68.4,70.9,"2018"
"7","ALABAMA","Total",3651,2526,68,69.2,2095,56.4,57.4,"2018"
"8","ALABAMA","18 to 24",497,283,55.2,57,212,41.4,42.7,"2018"
"9","ALABAMA","25 to 34",568,393,67.5,69.2,310,53.1,54.5,"2018"
"10","ALABAMA","35 to 44",548,363,64.1,66.3,306,54,55.8,"2018"
"11","ALABAMA","45 to 64",1280,881,68.1,68.8,761,58.8,59.4,"2018"
"12","ALABAMA","65+",758,606,79.5,79.9,507,66.5,66.9,"2018"
"13","ALASKA","Total",502,358,69.1,71.3,308,59.4,61.3,"2018"
"14","ALASKA","18 to 24",65,32,NA,NA,26,NA,NA,"2018"
"15","ALASKA","25 to 34",109,71,62.6,64.8,58,51,52.7,"2018"
"16","ALASKA","35 to 44",79,58,NA,NA,48,NA,NA,"2018"
"17","ALASKA","45 to 64",174,138,77,79.6,122,67.9,70.2,"2018"
"18","ALASKA","65+",75,59,NA,NA,54,NA,NA,"2018"
"19","ARIZONA","Total",4585,3145,60.5,68.6,2769,53.3,60.4,"2018"
"20","ARIZONA","18 to 24",654,346,47.1,52.8,263,35.8,40.2,"2018"
"21","ARIZONA","25 to 34",729,460,53.9,63.1,377,44.1,51.7,"2018"
"22","ARIZONA","35 to 44",663,423,54.5,63.7,349,45,52.6,"2018"
"23","ARIZONA","45 to 64",1510,1143,65.9,75.7,1038,59.8,68.7,"2018"
"24","ARIZONA","65+",1028,774,70.6,75.3,743,67.8,72.2,"2018"
"25","ARKANSAS","Total",2116,1456,65.7,68.8,1241,56,58.7,"2018"
"26","ARKANSAS","18 to 24",180,92,49.1,51.2,62,33.1,34.5,"2018"
"27","ARKANSAS","25 to 34",367,224,54.8,61.1,173,42.3,47.1,"2018"
"28","ARKANSAS","35 to 44",362,244,63.1,67.5,211,54.5,58.3,"2018"
"29","ARKANSAS","45 to 64",697,503,70.2,72.2,452,63.1,64.8,"2018"
"30","ARKANSAS","65+",510,392,76,76.9,343,66.6,67.3,"2018"
"31","CALIFORNIA","Total",24890,16096,53.8,64.7,14416,48.2,57.9,"2018"
"32","CALIFORNIA","18 to 24",3308,1656,44,50.1,1411,37.5,42.7,"2018"
"33","CALIFORNIA","25 to 34",4579,2795,48.7,61,2379,41.4,51.9,"2018"
"34","CALIFORNIA","35 to 44",3797,2412,46.9,63.5,2074,40.3,54.6,"2018"
"35","CALIFORNIA","45 to 64",8252,5581,56.8,67.6,5124,52.1,62.1,"2018"
"36","CALIFORNIA","65+",4955,3651,67.5,73.7,3429,63.4,69.2,"2018"
