"Rank","State","Data",

"1","Minnesota MN","57%",
"2","Maine ME","55%",
"3","Colorado CO","52%",
"4","Iowa IA","50%",
"5","Maryland MD","50%",
"6","Virginia VA","48%",
"7","Massachusetts MA","47%",
"8","Pennsylvania PA","47%",
"9","Oregon OR","46%",
"10","New Jersey NJ","45%",
"11","North Carolina NC","45%",
"12","Delaware DE","44%",
"13","Florida FL","44%",
"14","Ohio OH","44%",
"15","Connecticut CT","43%",
"16","Illinois IL","42%",
"17","Louisiana LA","42%",
"18","Michigan MI","42%",
"19","Missouri MO","42%",
"20","Kentucky KY","41%",
"21","Montana MT","41%",
"22","Nebraska NE","41%",
"23","Washington WA","41%",
"24","Alabama AL","40%",
"25","Nevada NV","39%",
"26","Idaho ID","38%",
"27","Rhode Island RI","38%",
"28","California CA","37%",
"29","Georgia GA","37%",
"30","New York NY","37%",
"31","Vermont VT","37%",
"32","Indiana IN","35%",
"33","South Carolina SC","35%",
"34","Arizona AZ","33%",
"35","West Virginia WV","33%",
"36","Arkansas AR","31%",
"37","Kansas KS","31%",
"38","New Mexico NM","31%",
"39","South Dakota SD","31%",
"40","Oklahoma OK","30%",
"41","Tennessee TN","29%",
"42","Texas TX","28%",
"43","Utah UT","24%",
"44","Alaska AK","no data",
"45","District of Columbia DC","no data",
"46","Hawaii HI","no data",
"47","Mississippi MS","no data",
"48","New Hampshire NH","no data",
"49","North Dakota ND","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
