"Rank","State","Data",

"1","Ohio OH","86%",
"2","Maryland MD","84%",
"3","Delaware DE","83%",
"4","Kentucky KY","82%",
"5","Rhode Island RI","79%",
"6","Oregon OR","77%",
"7","Michigan MI","76%",
"8","Iowa IA","74%",
"9","West Virginia WV","74%",
"10","Florida FL","73%",
"11","Illinois IL","70%",
"12","New Jersey NJ","70%",
"13","North Carolina NC","70%",
"14","Virginia VA","70%",
"15","Louisiana LA","69%",
"16","Maine ME","68%",
"17","Missouri MO","68%",
"18","Pennsylvania PA","68%",
"19","South Carolina SC","68%",
"20","Colorado CO","66%",
"21","Georgia GA","66%",
"22","Nevada NV","66%",
"23","Indiana IN","65%",
"24","Connecticut CT","64%",
"25","Washington WA","64%",
"26","South Dakota SD","61%",
"27","Minnesota MN","60%",
"28","Arizona AZ","59%",
"29","Massachusetts MA","59%",
"30","Nebraska NE","59%",
"31","New York NY","59%",
"32","Vermont VT","57%",
"33","California CA","56%",
"34","Texas TX","56%",
"35","Kansas KS","54%",
"36","Arkansas AR","53%",
"37","Tennessee TN","53%",
"38","New Mexico NM","52%",
"39","Alabama AL","50%",
"40","Montana MT","48%",
"41","Oklahoma OK","45%",
"42","Idaho ID","41%",
"43","Utah UT","32%",
"44","Alaska AK","no data",
"45","District of Columbia DC","no data",
"46","Hawaii HI","no data",
"47","Mississippi MS","no data",
"48","New Hampshire NH","no data",
"49","North Dakota ND","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
