"Rank","State","Data",

"1","California CA","2,216,735",
"2","Florida FL","1,246,938",
"3","Texas TX","1,219,677",
"4","New York NY","1,117,847",
"5","Pennsylvania PA","904,354",
"6","Illinois IL","803,424",
"7","Ohio OH","798,797",
"8","North Carolina NC","714,372",
"9","Michigan MI","651,557",
"10","Virginia VA","629,083",
"11","Georgia GA","596,031",
"12","New Jersey NJ","545,955",
"13","Massachusetts MA","496,646",
"14","Colorado CO","466,987",
"15","Minnesota MN","465,808",
"16","Washington WA","455,218",
"17","Maryland MD","439,849",
"18","Missouri MO","399,027",
"19","Indiana IN","366,708",
"20","Arizona AZ","356,143",
"21","Louisiana LA","315,319",
"22","Alabama AL","307,915",
"23","Tennessee TN","305,936",
"24","Oregon OR","282,216",
"25","Kentucky KY","282,074",
"26","South Carolina SC","276,289",
"27","Iowa IA","245,948",
"28","Connecticut CT","225,583",
"29","Oklahoma OK","187,792",
"30","Nevada NV","166,316",
"31","Arkansas AR","146,052",
"32","Kansas KS","144,710",
"33","Utah UT","130,609",
"34","Nebraska NE","120,966",
"35","Maine ME","101,219",
"36","New Mexico NM","99,902",
"37","Idaho ID","99,004",
"38","West Virginia WV","88,878",
"39","Montana MT","66,931",
"40","Rhode Island RI","65,777",
"41","Delaware DE","61,406",
"42","South Dakota SD","41,490",
"43","Vermont VT","37,301",
"44","Hawaii HI","17,073",
"45","Alaska AK","no data",
"46","District of Columbia DC","no data",
"47","Mississippi MS","no data",
"48","New Hampshire NH","no data",
"49","North Dakota ND","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",




(c) 2020 Center for Information and Research on Civic Learning & Engagement | CIRCLE is part of Tufts University Jonathan M. Tisch College of Civic Life | circle.tufts.edu
